Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast
Bernd Leno,GK,28,35,35,"3,131",34.8,0,0
Bukayo Saka,FW,18,32,30,"2,553",28.4,5,3
Granit Xhaka,MF,27,31,29,"2,522",28,1,2
Rob Holding,DF,24,30,28,"2,558",28.4,0,1
Pierre-Emerick Aubameyang,FW,31,29,26,"2,332",25.9,10,3
Kieran Tierney,DF,23,27,26,"2,299",25.5,1,3
Hector Bellerin,DF,25,25,24,"2,089",23.2,1,2
Gabriel Dos Santos,DF,22,23,22,"1,996",22.2,2,0
Alexandre Lacazette,FW,29,31,22,"1,923",21.4,13,2
Thomas Partey,MF,27,24,18,"1,534",17,0,2
Emile Smith-Rowe,FW,20,20,18,"1,440",16,2,4
Dani Ceballos,MF,23,25,17,"1,615",17.9,0,3
Mohamed Elneny,MF,28,23,17,"1,544",17.2,1,0
David Luiz,DF,33,20,17,"1,396",15.5,1,0
Nicolas Pepe,FW,25,29,16,"1,616",18,10,1
Willian,FW,31,25,16,"1,406",15.6,1,5
Pablo Mari,DF,26,10,10,900,10,0,0
Martin Odegaard,MF,21,14,9,866,9.6,1,2
Calum Chambers,DF,25,10,8,753,8.4,0,2
Cedric Soares,DF,28,10,8,746,8.3,0,1
Martinelli,FW,19,14,7,589,6.5,2,1
Ainsley Maitland-Niles,DF,22,11,5,490,5.4,0,0
Eddie Nketiah,FW,21,17,4,423,4.7,2,1
Mathew Ryan,GK,28,3,3,270,3,0,0
Joe Willock,MF,20,7,2,238,2.6,0,0
Sead Kolasinac,DF,27,1,1,90,1,0,0
Reiss Nelson,FW,20,2,0,71,0.8,0,0
Shkodran Mustafi,DF,28,3,0,47,0.5,0,0
